proxy_name,rds_file,n_loocv_rows,overall_total_obs,overall_n_zero,overall_n_positive,overall_pct_positive,overall_mean_proxy,overall_median_proxy,euets0_total_obs,euets0_n_zero,euets0_n_positive,euets0_pct_positive,euets0_mean_proxy,euets0_median_proxy,euets1_total_obs,euets1_n_zero,euets1_n_positive,euets1_pct_positive,euets1_mean_proxy,euets1_median_proxy,mod_fuel_def,mod_use_siec_all,mod_supplier_non_euets,mod_buyer_sector_siec,mod_emissions_weighted,mod_supplier_nace_filter,mod_proxy_id
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC0_wEm0_nacehigh_medium,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC0_wEm0_nacehigh_medium.rds,6642,6622,1355,5267,0.795379039565086,37025257.4912327,83971.815,2685,1153,1532,0.570577281191806,10313592.4414105,1810.59,3937,202,3735,0.948691897383795,55242382.3728108,1068314.80908203,strict_cn8,FALSE,FALSE,FALSE,FALSE,high_medium,50
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC0_wEm0_nacenone,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC0_wEm0_nacenone.rds,6642,6622,411,6211,0.937934158864391,49779032.4885534,893329.653485108,2685,384,2301,0.856983240223464,13340836.1299752,26935.8,3937,27,3910,0.993141986283972,74629567.7242106,3635823.30657959,strict_cn8,FALSE,FALSE,FALSE,FALSE,none,51
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC0_wEm1_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC0_wEm1_nacehigh.rds,6642,6622,1548,5074,0.766233766233766,243408770.158179,176848.504550635,2685,1239,1446,0.53854748603352,46079024.4493602,5171.23005729856,3937,309,3628,0.921513843027686,377985952.588501,1665943.74966193,strict_cn8,FALSE,FALSE,FALSE,TRUE,high,73
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC0_wEm1_nacehigh_medium,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC0_wEm1_nacehigh_medium.rds,6642,6622,1432,5190,0.783751132588342,384162091.293095,485936.900807067,2685,1203,1482,0.55195530726257,52878866.0858621,7083.46654121798,3937,229,3708,0.941833883667767,610094389.916774,6554369.65761717,strict_cn8,FALSE,FALSE,FALSE,TRUE,high_medium,74
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC0_wEm1_nacenone,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC0_wEm1_nacenone.rds,6642,6622,467,6155,0.929477499244941,466679530.051888,5364122.61148321,2685,436,2249,0.837616387337058,94491424.2423872,117792.923328783,3937,31,3906,0.992125984251969,720508603.991057,31357213.8282936,strict_cn8,FALSE,FALSE,FALSE,TRUE,none,75
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC1_wEm0_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC1_wEm0_nacehigh.rds,6642,6622,5888,734,0.110842645726367,18309620.8551072,0,2685,2563,122,0.0454376163873371,2354535.66116201,0,3937,3325,612,0.155448310896622,29190851.1689865,0,strict_cn8,FALSE,FALSE,TRUE,FALSE,high,61
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC1_wEm0_nacehigh_medium,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC1_wEm0_nacehigh_medium.rds,6642,6622,5888,734,0.110842645726367,18309620.8551072,0,2685,2563,122,0.0454376163873371,2354535.66116201,0,3937,3325,612,0.155448310896622,29190851.1689865,0,strict_cn8,FALSE,FALSE,TRUE,FALSE,high_medium,62
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC1_wEm0_nacenone,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC1_wEm0_nacenone.rds,6642,6622,5888,734,0.110842645726367,18309620.8551072,0,2685,2563,122,0.0454376163873371,2354535.66116201,0,3937,3325,612,0.155448310896622,29190851.1689865,0,strict_cn8,FALSE,FALSE,TRUE,FALSE,none,63
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC1_wEm1_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC1_wEm1_nacehigh.rds,6642,6622,5974,648,0.0978556327393537,199937942.611677,0,2685,2565,120,0.0446927374301676,19005977.6708793,0,3937,3409,528,0.134112268224536,323331980.169727,0,strict_cn8,FALSE,FALSE,TRUE,TRUE,high,85
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC1_wEm1_nacehigh_medium,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC1_wEm1_nacehigh_medium.rds,6642,6622,5974,648,0.0978556327393537,199937942.611677,0,2685,2565,120,0.0446927374301676,19005977.6708793,0,3937,3409,528,0.134112268224536,323331980.169727,0,strict_cn8,FALSE,FALSE,TRUE,TRUE,high_medium,86
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC1_wEm1_nacenone,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS0_buyerSIEC1_wEm1_nacenone.rds,6642,6622,5974,648,0.0978556327393537,199937942.611677,0,2685,2565,120,0.0446927374301676,19005977.6708793,0,3937,3409,528,0.134112268224536,323331980.169727,0,strict_cn8,FALSE,FALSE,TRUE,TRUE,none,87
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS1_buyerSIEC0_wEm0_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS1_buyerSIEC0_wEm0_nacehigh.rds,6642,6622,1591,5031,0.75974025974026,23344259.6822845,33737.8002929688,2685,1245,1440,0.536312849162011,3386293.60992471,979.219970703125,3937,346,3591,0.912115824231648,36955420.1862942,200913.39453125,strict_cn8,FALSE,TRUE,FALSE,FALSE,high,52
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS1_buyerSIEC0_wEm0_nacehigh_medium,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS1_buyerSIEC0_wEm0_nacehigh_medium.rds,6642,6622,1501,5121,0.773331319842948,29516828.5121984,41833.7155322266,2685,1212,1473,0.548603351955307,3433056.33028864,1474.4,3937,289,3648,0.926593853187706,47305735.8803538,256911.62109375,strict_cn8,FALSE,TRUE,FALSE,FALSE,high_medium,53
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS1_buyerSIEC0_wEm0_nacenone,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS1_buyerSIEC0_wEm0_nacenone.rds,6642,6622,467,6155,0.929477499244941,36164026.8542718,324589.175,2685,432,2253,0.839106145251397,4726593.52109076,17717.7890625,3937,35,3902,0.991109982219965,57604084.893284,1247660.09,strict_cn8,FALSE,TRUE,FALSE,FALSE,none,54
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS1_buyerSIEC0_wEm1_nacehigh,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS1_buyerSIEC0_wEm1_nacehigh.rds,6642,6622,1678,4944,0.746602234974328,221331193.825207,145032.391881584,2685,1285,1400,0.521415270018622,23852257.0259334,3235.11864666638,3937,393,3544,0.900177800355601,356010123.290802,1152096.50269666,strict_cn8,FALSE,TRUE,FALSE,TRUE,high,76
proxy_fuelDefstrict_cn8_siecAll0_nonEUETS1_buyerSIEC0_wEm1_nacehigh_medium,X:/Documents/JARDANG/carbon_policy_networks/code/inferring_emissions/02_proxies/cache/proxy_fuelDefstrict_cn8_siecAll0_nonEUETS1_buyerSIEC0_wEm1_nacehigh_medium.rds,6642,6622,1613,5009,0.756418000604047,297591858.580549,176848.504550635,2685,1270,1415,0.527001862197393,24057492.277956,3803.51620508723,3937,343,3594,0.912877825755652,484139934.151406,1507398.24766851,strict_cn8,FALSE,TRUE,FALSE,TRUE,high_medium,77
